champion,patch,id_postaci
Dr. Mundo,15.03,393
Tahm Kench,15.03,394
Twitch,15.03,395
Zac,15.03,396
Xerath,15.03,397
Master Yi,15.02,398
Quinn,15.03,399
Senna,15.03,400
Gangplank,15.03,401
Aphelios,15.03,402
Taric,15.03,403
Karthus,15.03,404
Annie,15.03,405
Trundle,15.03,406
Vex,15.03,407
Yuumi,15.03,408
Kog'Maw,15.03,409
Twisted Fate,15.03,410
Graves,15.03,411
Kled,15.03,412
Darius,15.03,413
Nilah,15.03,414
Nasus,15.03,415
K'Sante,15.04,416
Vi,15.04,417
Ahri,15.04,418
Miss Fortune,15.04,419
Rakan,15.04,420
Maokai,15.04,421
Xin Zhao,15.04,422
Taliyah,15.04,423
Corki,15.04,424
Braum,15.04,425
,15.04,426
Ornn,15.04,427
Wukong,15.04,428
Mel,15.04,429
Caitlyn,15.04,430
Rell,15.04,431
Sett,15.04,432
Zyra,15.04,433
Galio,15.04,434
Jhin,15.04,435
Nautilus,15.04,436
Sion,15.04,437
Nocturne,15.04,438
Orianna,15.04,439
Varus,15.04,440
Thresh,15.04,441
Gnar,15.04,442
Ivern,15.04,443
Sylas,15.04,444
Jinx,15.04,445
Leona,15.04,446
Pantheon,15.04,447
Renekton,15.04,448
Jarvan Iv,15.04,449
Syndra,15.04,450
Ezreal,15.04,451
Camille,15.04,452
Viktor,15.04,453
Kai'Sa,15.04,454
Lillia,15.04,455
Aurora,15.04,456
Vel'Koz,15.04,457
Ashe,15.04,458
Bard,15.04,459
Nidalee,15.04,460
Azir,15.04,461
Ambessa,15.04,462
Rumble,15.04,463
Poppy,15.04,464
Kennen,15.04,465
Jayce,15.04,466
Viego,15.04,467
Ryze,15.04,468
Senna,15.04,469
Hwei,15.04,470
Akali,15.04,471
Zeri,15.04,472
Lulu,15.04,473
Yone,15.04,474
Karma,15.04,475
Riven,15.03,476
Skarner,15.04,477
Renata Glasc,15.04,478
Udyr,15.04,479
Lee Sin,15.04,480
Smolder,15.04,481
Volibear,15.04,482
Blitzcrank,15.04,483
Jax,15.04,484
Aphelios,15.04,485
Aatrox,15.04,486
Sejuani,15.04,487
Ziggs,15.04,488
Shen,15.04,489
Olaf,15.04,490
Zac,15.04,491
Alistar,15.04,492
Xayah,15.04,493
Neeko,15.04,494
Leblanc,15.04,495
Elise,15.04,496
Aurelion Sol,15.03,497
Tristana,15.04,498
Kayn,15.03,499
Anivia,15.04,500
Xerath,15.04,501
Yuumi,15.04,502
Gragas,15.04,503
Lucian,15.04,504
Kalista,15.04,505
Graves,15.04,506
Annie,15.04,507
Amumu,15.04,508
Yasuo,15.04,509
Gangplank,15.04,510
Seraphine,15.04,511
Vladimir,15.04,512
Gwen,15.04,513
Draven,15.04,514
Kindred,15.04,515
Sivir,15.04,516
Irelia,15.04,517
Cassiopeia,15.04,518
Garen,15.04,519
Kled,15.04,520
Vex,15.04,521
Milio,15.04,522
Warwick,15.04,523
Cho'Gath,15.04,524
Vayne,15.04,525
Bel'Veth,15.04,526
Taric,15.04,527
Janna,15.04,528
Brand,15.04,529
Malphite,15.04,530
Diana,15.04,531
Lissandra,15.04,532
Shyvana,15.04,533
Qiyana,15.04,534
Nami,15.04,535
Darius,15.04,536
Swain,15.04,537
Fiora,15.04,538
Kha'Zix,15.04,539
Karthus,15.04,540
Shyvana,15.03,541
Tahm Kench,15.04,542
Lux,15.04,543
Pyke,15.04,544
Shaco,15.04,545
Zoe,15.04,546
Zed,15.04,547
Kog'Maw,15.04,548
Twitch,15.04,549
Trundle,15.04,550
Morgana,15.04,551
Nunu & Willump,15.04,552
Ekko,15.04,553
Aurelion Sol,15.04,554
Urgot,15.04,555
Veigar,15.04,556
Zilean,15.04,557
Nilah,15.04,558
Hecarim,15.04,559
Dr. Mundo,15.04,560
Mordekaiser,15.04,561
Sona,15.04,562
Samira,15.04,563
Kayle,15.04,564
Kayn,15.04,565
Renekton,15.05,566
Ivern,15.05,567
Azir,15.05,568
Sivir,15.05,569
Braum,15.05,570
Gnar,15.05,571
Brand,15.05,572
Smolder,15.05,573
Ashe,15.05,574
Nautilus,15.05,575
,15.05,576
Aurora,15.05,577
Pantheon,15.05,578
Hwei,15.05,579
Kalista,15.05,580
Rell,15.05,581
K'Sante,15.05,582
